,Date,Open,High,Low,Close
122,2007-03-29,94.19,94.19,92.23,93.75
123,2007-03-30,94.28,94.68,92.75,92.91
124,2007-04-02,94.14,94.25,93.02,93.65
125,2007-04-03,94.14,95.23,93.76,94.5
126,2007-04-04,94.94,95.14,94.13,94.27
127,2007-04-05,94.12,94.68,93.52,94.68
128,2007-04-09,95.21,95.3,93.04,93.65
129,2007-04-10,93.67,94.258,93.41,94.25
130,2007-04-11,93.9,93.95,92.33,92.59
131,2007-04-12,92.04,92.31,90.72,92.19
132,2007-04-13,90.9,91.4001,90.0599,90.24
133,2007-04-16,90.57,91.5,90.25,91.43
134,2007-04-17,92.0,92.3,89.7,90.35
135,2007-04-18,90.16,90.85,89.6,90.4
136,2007-04-19,90.19,91.25,89.83,90.27
137,2007-04-20,90.889,91.18,90.55,90.97
138,2007-04-23,91.585,93.8,91.42,93.51
139,2007-04-24,93.96,96.39,91.3,93.24
140,2007-04-25,94.23,95.4,93.8,95.348
141,2007-04-26,101.58,102.5,98.3,98.84
142,2007-04-27,98.18,99.95,97.69,99.92
143,2007-04-30,100.09,101.0,99.67,99.8
144,2007-05-01,99.59,100.35,98.55,99.47
145,2007-05-02,99.65,100.54,99.47,100.39
146,2007-05-03,100.73,101.45,100.01,100.4
147,2007-05-04,100.8,101.6,100.5,100.81
148,2007-05-07,101.08,104.35,101.01,103.92
149,2007-05-08,103.47,105.15,103.42,105.06
150,2007-05-09,104.91,106.96,104.89,106.88
151,2007-05-10,106.63,108.84,105.92,107.34
152,2007-05-11,107.74,109.13,106.78,108.74
153,2007-05-14,109.62,110.0,108.25,109.36
154,2007-05-15,109.57,110.2,106.48,107.52
155,2007-05-16,108.53,108.83,103.42,107.34
156,2007-05-17,107.15,109.87,107.15,109.44
157,2007-05-18,110.23,110.64,109.77,110.02
158,2007-05-21,110.31,112.45,110.05,111.98
159,2007-05-22,112.49,113.75,112.01,113.54
160,2007-05-23,114.02,115.0,112.59,112.89
161,2007-05-24,112.81,114.46,110.37,110.69
162,2007-05-25,112.0,113.78,111.5,113.62
163,2007-05-29,114.45,114.86,112.69,114.35
164,2007-05-30,114.3,118.88,113.53,118.77
165,2007-05-31,120.07,122.17,119.541,121.191
166,2007-06-01,121.1,121.19,118.29,118.4
167,2007-06-04,118.63,121.73,117.9,121.33
168,2007-06-05,121.41,122.69,120.5,122.67
169,2007-06-06,122.3,124.05,121.95,123.64
170,2007-06-07,124.99,127.61,123.19,124.069
171,2007-06-08,125.825,125.83,122.29,124.49
172,2007-06-11,126.0,126.15,119.54,120.19
173,2007-06-12,119.35,121.71,118.31,120.38
174,2007-06-13,121.15,121.19,115.4,117.5
175,2007-06-14,117.2,119.45,116.42,118.75
176,2007-06-15,120.62,120.67,119.86,120.5
177,2007-06-18,123.28,125.18,122.54,125.09
178,2007-06-19,124.69,125.01,122.91,123.66
179,2007-06-20,123.87,124.66,121.5,121.55
180,2007-06-21,121.7,124.29,120.72,123.9
181,2007-06-22,123.85,124.45,122.38,123.0
182,2007-06-25,124.19,125.09,121.06,122.34
183,2007-06-26,123.98,124.0,118.72,119.65
184,2007-06-27,120.61,122.04,119.26,121.89
185,2007-06-28,122.36,122.49,120.0,120.56
186,2007-06-29,121.97,124.0,121.09,122.04
187,2007-07-02,121.05,122.09,119.3,121.26
188,2007-07-03,122.0,127.4,121.5,127.17
189,2007-07-05,128.8,132.97,128.69,132.75
190,2007-07-06,133.13,133.34,130.4,132.3
191,2007-07-09,132.38,132.9,129.18,130.3301
192,2007-07-10,128.88,134.5,128.81,132.35
193,2007-07-11,132.07,133.7,131.31,132.39
194,2007-07-12,133.85,134.24,132.39,134.0699
195,2007-07-13,135.03,137.85,134.52,137.73
196,2007-07-16,138.39,139.98,137.5,138.1
197,2007-07-17,138.3,139.6,137.5,138.9099
198,2007-07-18,138.19,138.44,136.04,138.12
199,2007-07-19,140.3,140.81,139.65,140.0
200,2007-07-20,141.65,144.18,140.0,143.75
201,2007-07-23,143.31,145.22,140.93,143.7
202,2007-07-24,138.88,141.0,134.15,134.8899
203,2007-07-25,137.35,138.36,135.0,137.26
204,2007-07-26,145.87,148.5,136.96,146.0
205,2007-07-27,146.19,148.92,143.78,143.85
206,2007-07-30,144.33,145.45,139.57,141.43
207,2007-07-31,142.97,143.48,131.52,131.76
208,2007-08-01,133.64,135.38,127.77,135.0
209,2007-08-02,136.65,136.96,134.15,136.49
210,2007-08-03,135.26,135.95,131.5,131.8499
211,2007-08-06,132.9,135.27,128.3,135.25
212,2007-08-07,134.94,137.24,132.63,135.0301
213,2007-08-08,136.76,136.86,132.0,134.01
214,2007-08-09,131.11,133.0,125.09,126.39
215,2007-08-10,123.12,127.75,120.3,125.0
216,2007-08-13,128.33,129.35,126.5,127.79
217,2007-08-14,128.29,128.3,123.71,124.03
218,2007-08-15,122.74,124.86,119.65,119.9
219,2007-08-16,117.01,118.5,111.62,117.05
220,2007-08-17,122.01,123.5,119.82,122.06
221,2007-08-20,123.96,124.5,120.5,122.22
222,2007-08-21,122.21,128.96,121.0,127.57
223,2007-08-22,131.22,132.75,130.33,132.51
224,2007-08-23,133.09,133.34,129.76,131.07
225,2007-08-24,130.53,135.37,129.81,135.3
226,2007-08-27,133.3907,134.66,132.1,132.25
227,2007-08-28,130.99,132.41,126.63,126.82
228,2007-08-29,129.88,134.18,129.54,134.08
229,2007-08-30,132.67,138.25,132.3,136.25
230,2007-08-31,139.49,139.65,137.41,138.48
231,2007-09-04,139.94,145.73,139.84,144.16
232,2007-09-05,144.97,145.84,136.1,136.76
233,2007-09-06,135.57,137.57,132.71,135.01
234,2007-09-07,132.01,132.3,130.0,131.77
235,2007-09-10,137.0,138.04,133.95,136.71
236,2007-09-11,137.9,138.3,133.75,135.49
237,2007-09-12,135.99,139.4,135.75,136.85
238,2007-09-13,138.83,139.0,136.65,137.2
239,2007-09-14,136.57,138.98,136.2,138.81
240,2007-09-17,138.99,140.59,137.6,138.41
241,2007-09-18,139.05,142.85,137.83,140.92
242,2007-09-19,143.02,143.16,139.4,140.7699
243,2007-09-20,140.15,141.79,139.32,140.31
244,2007-09-21,141.14,144.65,140.31,144.15
245,2007-09-24,146.73,149.85,146.65,148.28
246,2007-09-25,146.84,153.22,146.82,153.18
247,2007-09-26,154.47,155.0,151.25,152.77
248,2007-09-27,153.77,154.52,152.32,154.5
249,2007-09-28,153.44,154.6,152.75,153.47
250,2007-10-01,154.63,157.41,152.93,156.339
251,2007-10-02,156.55,158.59,155.89,158.45
252,2007-10-03,157.78,159.18,157.01,157.9201
253,2007-10-04,158.0,158.08,153.5,156.24
254,2007-10-05,158.36,161.58,157.7,161.4499
255,2007-10-08,163.49,167.91,162.97,167.91
