,Date,Open,Low,High,Close,S/L
204,2007-07-26,145.87,136.96,148.5,146.0,Null
205,2007-07-27,146.19,143.78,148.92,143.85,Stoploss
206,2007-07-30,144.33,139.57,145.45,141.43,Stoploss
207,2007-07-31,142.97,131.52,143.48,131.76,Stoploss
208,2007-08-01,133.64,127.77,135.38,135.0,Stoploss
209,2007-08-02,136.65,134.15,136.96,136.49,Stoploss
210,2007-08-03,135.26,131.5,135.95,131.8499,Stoploss
211,2007-08-06,132.9,128.3,135.27,135.25,Stoploss
212,2007-08-07,134.94,132.63,137.24,135.0301,Stoploss
213,2007-08-08,136.76,132.0,136.86,134.01,Stoploss
214,2007-08-09,131.11,125.09,133.0,126.39,Stoploss
215,2007-08-10,123.12,120.3,127.75,125.0,Stoploss
216,2007-08-13,128.33,126.5,129.35,127.79,Stoploss
217,2007-08-14,128.29,123.71,128.3,124.03,Stoploss
218,2007-08-15,122.74,119.65,124.86,119.9,Stoploss
219,2007-08-16,117.01,111.62,118.5,117.05,Stoploss
220,2007-08-17,122.01,119.82,123.5,122.06,Stoploss
221,2007-08-20,123.96,120.5,124.5,122.22,Stoploss
222,2007-08-21,122.21,121.0,128.96,127.57,Stoploss
223,2007-08-22,131.22,130.33,132.75,132.51,Stoploss
224,2007-08-23,133.09,129.76,133.34,131.07,Stoploss
225,2007-08-24,130.53,129.81,135.37,135.3,Stoploss
226,2007-08-27,133.3907,132.1,134.66,132.25,Stoploss
227,2007-08-28,130.99,126.63,132.41,126.82,Stoploss
228,2007-08-29,129.88,129.54,134.18,134.08,Stoploss
229,2007-08-30,132.67,132.3,138.25,136.25,Stoploss
230,2007-08-31,139.49,137.41,139.65,138.48,Stoploss
231,2007-09-04,139.94,139.84,145.73,144.16,Null
232,2007-09-05,144.97,136.1,145.84,136.76,Stoploss
233,2007-09-06,135.57,132.71,137.57,135.01,Stoploss
234,2007-09-07,132.01,130.0,132.3,131.77,Stoploss
235,2007-09-10,137.0,133.95,138.04,136.71,Stoploss
236,2007-09-11,137.9,133.75,138.3,135.49,Stoploss
237,2007-09-12,135.99,135.75,139.4,136.85,Stoploss
238,2007-09-13,138.83,136.65,139.0,137.2,Stoploss
239,2007-09-14,136.57,136.2,138.98,138.81,Stoploss
240,2007-09-17,138.99,137.6,140.59,138.41,Stoploss
241,2007-09-18,139.05,137.83,142.85,140.92,Stoploss
242,2007-09-19,143.02,139.4,143.16,140.7699,Stoploss
243,2007-09-20,140.15,139.32,141.79,140.31,Stoploss
244,2007-09-21,141.14,140.31,144.65,144.15,Null
245,2007-09-24,146.73,146.65,149.85,148.28,Null
246,2007-09-25,146.84,146.82,153.22,153.18,Null
247,2007-09-26,154.47,151.25,155.0,152.77,Null
248,2007-09-27,153.77,152.32,154.52,154.5,Null
249,2007-09-28,153.44,152.75,154.6,153.47,Null
250,2007-10-01,154.63,152.93,157.41,156.339,Null
251,2007-10-02,156.55,155.89,158.59,158.45,Null
252,2007-10-03,157.78,157.01,159.18,157.9201,Null
253,2007-10-04,158.0,153.5,158.08,156.24,Stoploss
254,2007-10-05,158.36,157.7,161.58,161.4499,Null
255,2007-10-08,163.49,162.97,167.91,167.91,Null
256,2007-10-09,170.2,166.68,171.11,167.86,Null
257,2007-10-10,167.55,165.6,167.88,166.79,Null
258,2007-10-11,169.49,153.21,171.88,162.23,Stoploss
259,2007-10-12,163.01,161.8,167.28,167.2537,Null
260,2007-10-15,167.98,163.5,169.57,166.98,Null
261,2007-10-16,165.54,165.15,170.18,169.58,Null
262,2007-10-17,172.69,169.18,173.04,172.75,Null
263,2007-10-18,171.5,171.05,174.19,173.5,Null
264,2007-10-19,174.24,170.0,174.63,170.42,Stoploss
265,2007-10-22,170.35,169.9601,174.9,174.36,Null
266,2007-10-23,188.56,182.76,188.6,186.16,Null
267,2007-10-24,185.81,179.24,187.21,185.93,Null
268,2007-10-25,184.87,181.66,185.9,182.78,Stoploss
269,2007-10-26,185.29,182.88,185.37,184.7,Null
270,2007-10-29,185.7,184.7,186.59,185.09,Null
271,2007-10-30,186.18,184.73,189.37,187.0,Null
272,2007-10-31,187.63,184.95,190.12,189.95,Null
273,2007-11-01,188.6,180.0,190.1,187.44,Stoploss
274,2007-11-02,189.21,183.49,189.44,187.87,Stoploss
275,2007-11-05,185.29,184.24,188.96,186.18,Stoploss
276,2007-11-06,187.05,185.27,192.0,191.79,Null
277,2007-11-07,190.61,186.13,192.68,186.2999,Stoploss
278,2007-11-08,186.67,167.77,186.9,175.4663,Stoploss
279,2007-11-09,171.15,165.21,175.12,165.37,Stoploss
280,2007-11-12,165.28,150.63,167.7,153.76,Stoploss
281,2007-11-13,160.85,153.76,170.98,169.96,Stoploss
282,2007-11-14,177.16,163.74,177.57,166.11,Stoploss
283,2007-11-15,166.39,160.3,169.59,164.3,Stoploss
284,2007-11-16,165.3,159.33,167.02,166.39,Stoploss
285,2007-11-19,166.1,162.1,168.2,163.95,Stoploss
286,2007-11-20,165.67,163.53,171.79,168.85,Stoploss
287,2007-11-21,165.84,164.67,172.35,168.46,Stoploss
288,2007-11-23,172.0,169.75,172.05,171.54,Stoploss
289,2007-11-26,173.59,172.35,177.2699,172.5419,Stoploss
290,2007-11-27,175.22,170.01,175.79,174.81,Stoploss
291,2007-11-28,176.82,175.35,180.6,180.22,Stoploss
292,2007-11-29,179.43,179.15,185.17,184.29,Stoploss
293,2007-11-30,187.34,179.7,187.7,182.22,Stoploss
294,2007-12-03,181.86,177.7,184.14,178.86,Stoploss
295,2007-12-04,177.15,176.99,180.9,179.81,Stoploss
296,2007-12-05,182.89,182.41,186.0,185.5,Stoploss
297,2007-12-06,186.19,186.12,190.1,189.9528,Null
298,2007-12-07,190.54,188.04,194.99,194.3,Null
299,2007-12-10,193.59,192.69,195.66,194.21,Null
300,2007-12-11,194.75,187.39,196.83,188.5404,Stoploss
301,2007-12-12,193.44,185.76,194.48,190.86,Stoploss
302,2007-12-13,190.19,187.82,192.12,191.83,Stoploss
303,2007-12-14,190.37,189.54,200.0,190.39,Stoploss
304,2007-12-17,190.72,182.98,192.65,184.4,Stoploss
305,2007-12-18,186.52,178.6,187.33,182.98,Stoploss
306,2007-12-19,182.98,180.9,184.6394,183.12,Stoploss
307,2007-12-20,185.43,183.33,187.83,187.21,Stoploss
308,2007-12-21,190.12,189.89,193.9125,193.91,Null
309,2007-12-24,195.03,194.79,199.33,198.8,Null
310,2007-12-26,199.01,196.82,200.96,198.95,Null
311,2007-12-27,198.95,197.8,202.96,198.57,Null
312,2007-12-28,200.59,196.8801,201.56,199.83,Null
313,2007-12-31,199.5,197.75,200.5,198.08,Null
314,2008-01-02,199.27,192.55,200.26,194.84,Stoploss
315,2008-01-03,195.41,192.69,197.39,194.93,Stoploss
316,2008-01-04,191.45,178.89,193.0,180.05,Stoploss
317,2008-01-07,181.25,170.23,183.6,177.64,Stoploss
318,2008-01-08,180.14,170.8,182.46,171.25,Stoploss
319,2008-01-09,171.3,168.3,179.5,179.4,Stoploss
320,2008-01-10,177.58,175.41,181.0,178.02,Stoploss
321,2008-01-11,176.0,170.0,177.85,172.69,Stoploss
322,2008-01-14,177.52,175.17,179.42,178.78,Stoploss
323,2008-01-15,177.72,164.66,179.22,169.04,Stoploss
324,2008-01-16,165.23,156.7,169.01,159.64,Stoploss
325,2008-01-17,161.51,158.42,165.36,160.89,Stoploss
326,2008-01-18,161.71,159.61,165.75,161.36,Stoploss
327,2008-01-22,148.06,146.0,159.98,155.64,Stoploss
328,2008-01-23,136.19,126.14,140.0,139.072,Stoploss
329,2008-01-24,139.99,132.01,140.7,135.6,Stoploss
330,2008-01-25,138.99,129.61,139.09,130.01,Stoploss
331,2008-01-28,128.16,126.45,133.2,130.01,Stoploss
332,2008-01-29,131.15,129.05,132.79,131.54,Stoploss
333,2008-01-30,131.37,130.0,135.45,132.18,Stoploss
334,2008-01-31,129.45,129.4,136.65,135.36,Stoploss
335,2008-02-01,136.24,132.18,136.59,133.75,Stoploss
336,2008-02-04,134.21,131.42,135.9,131.65,Stoploss
337,2008-02-05,130.43,128.9,134.0,129.36,Stoploss
338,2008-02-06,130.83,121.77,131.92,122.0,Stoploss
339,2008-02-07,119.97,117.27,124.78,121.24,Stoploss
340,2008-02-08,122.08,121.6,125.7,125.48,Stoploss
341,2008-02-11,128.01,127.2,129.98,129.45,Stoploss
342,2008-02-12,130.7,123.62,131.0,124.86,Stoploss
343,2008-02-13,126.68,125.63,129.78,129.4,Stoploss
344,2008-02-14,129.4,127.01,130.8,127.46,Stoploss
345,2008-02-15,126.27,124.06,127.08,124.63,Stoploss
346,2008-02-19,125.99,121.44,126.75,122.18,Stoploss
347,2008-02-20,122.2,121.68,124.6,123.82,Stoploss
348,2008-02-21,126.05,120.86,126.47,121.54,Stoploss
349,2008-02-22,122.48,115.87,122.51,119.46,Stoploss
350,2008-02-25,118.59,116.664,120.17,119.74,Stoploss
351,2008-02-26,117.64,115.44,121.09,119.15,Stoploss
352,2008-02-27,118.23,118.09,123.05,122.96,Stoploss
353,2008-02-28,127.2,125.77,132.2,129.91,Stoploss
354,2008-02-29,129.75,124.8,130.21,125.02,Stoploss
355,2008-03-03,124.44,118.0,125.98,121.73,Stoploss
356,2008-03-04,121.99,120.4,124.88,124.62,Stoploss
357,2008-03-05,123.58,122.25,125.14,124.4899,Stoploss
358,2008-03-06,124.4899,120.81,127.5,120.93,Stoploss
359,2008-03-07,120.41,119.05,122.9799,122.25,Stoploss
360,2008-03-10,121.98,119.37,123.46,119.69,Stoploss
361,2008-03-11,124.1,122.0,127.48,127.3501,Stoploss
362,2008-03-12,127.04,125.17,128.68,126.03,Stoploss
363,2008-03-13,124.1,123.0,129.5,127.94,Stoploss
364,2008-03-14,129.88,124.2,130.3,126.61,Stoploss
365,2008-03-17,122.55,122.55,128.59,126.73,Stoploss
366,2008-03-18,129.18,128.67,133.0015,132.82,Stoploss
367,2008-03-19,133.12,129.67,134.29,129.67,Stoploss
368,2008-03-20,131.12,129.18,133.2915,133.27,Stoploss
369,2008-03-24,134.01,133.64,140.85,139.53,Stoploss
370,2008-03-25,139.96,137.33,143.1,140.98,Stoploss
371,2008-03-26,140.87,140.64,145.74,145.06,Stoploss
372,2008-03-27,144.95,139.99,145.31,140.25,Stoploss
373,2008-03-28,141.8,141.6,144.65,143.01,Stoploss
374,2008-03-31,143.27,142.52,145.71,143.5,Stoploss
375,2008-04-01,146.3,143.61,149.66,149.5301,Stoploss
376,2008-04-02,148.78,145.85,151.2,147.49,Stoploss
377,2008-04-03,147.06,147.0,153.63,151.61,Stoploss
378,2008-04-04,152.19,150.75,154.715,153.08,Stoploss
379,2008-04-07,156.13,155.11,159.69,155.89,Stoploss
380,2008-04-08,153.55,152.32,156.45,152.84,Stoploss
381,2008-04-09,153.31,150.46,153.89,151.44,Stoploss
382,2008-04-10,151.13,150.6,155.42,154.55,Stoploss
383,2008-04-11,152.72,146.4,153.3,147.14,Stoploss
384,2008-04-14,146.77,144.54,149.25,147.78,Stoploss
385,2008-04-15,149.4,145.72,149.72,148.38,Stoploss
386,2008-04-16,151.76,150.62,154.1,153.7,Stoploss
387,2008-04-17,154.18,153.35,156.0,154.49,Stoploss
388,2008-04-18,159.04,158.38,162.26,161.04,Stoploss
389,2008-04-21,162.35,161.76,168.5,168.16,Stoploss
390,2008-04-22,167.41,158.09,168.0,160.2,Stoploss
391,2008-04-23,164.05,161.08,164.84,162.89,Stoploss
392,2008-04-24,165.31,159.194,169.98,168.94,Stoploss
393,2008-04-25,170.6,166.42,171.1,169.73,Stoploss
394,2008-04-28,169.74,169.13,173.75,172.24,Stoploss
395,2008-04-29,171.11,170.25,175.66,175.05,Stoploss
396,2008-04-30,176.26,172.92,180.0,173.95,Stoploss
397,2008-05-01,175.01,174.86,180.0,180.0,Stoploss
398,2008-05-02,180.31,178.55,181.92,180.94,Stoploss
399,2008-05-05,181.81,181.05,185.31,184.73,Stoploss
400,2008-05-06,184.56,182.18,187.12,186.66,Stoploss
401,2008-05-07,186.13,180.54,188.2,182.59,Stoploss
402,2008-05-08,183.75,183.07,186.5,185.06,Stoploss
403,2008-05-09,183.18,181.37,184.25,183.45,Stoploss
404,2008-05-12,185.12,182.85,188.87,188.16,Stoploss
405,2008-05-13,188.6,187.86,191.45,189.96,Stoploss
406,2008-05-14,191.29,185.57,192.24,186.26,Stoploss
407,2008-05-15,186.78,184.2,189.9,189.73,Stoploss
408,2008-05-16,190.3,187.0,190.3,187.6201,Stoploss
409,2008-05-19,187.9,181.3,188.69,183.6,Stoploss
410,2008-05-20,181.83,180.12,186.16,185.9,Stoploss
411,2008-05-21,185.61,176.25,188.0,178.19,Stoploss
412,2008-05-22,179.18,172.0,181.33,177.05,Stoploss
413,2008-05-23,180.75,177.8,181.99,181.17,Stoploss
414,2008-05-27,182.8,181.84,186.43,186.43,Stoploss
415,2008-05-28,187.49,183.72,187.95,187.01,Stoploss
416,2008-05-29,186.93,185.5,188.2,186.69,Stoploss
417,2008-05-30,187.5,187.38,189.54,188.75,Stoploss
418,2008-06-02,188.5,184.53,189.65,186.1,Stoploss
419,2008-06-03,186.9,182.3354,188.2,185.37,Stoploss
420,2008-06-04,184.0,183.23,187.09,185.19,Stoploss
421,2008-06-05,186.25,185.7,189.84,189.43,Stoploss
422,2008-06-06,188.0,185.55,189.95,185.64,Stoploss
423,2008-06-09,184.92,175.75,184.94,181.61,Stoploss
424,2008-06-10,180.33,179.02,186.78,185.64,Stoploss
425,2008-06-11,184.34,179.59,186.0,180.81,Stoploss
426,2008-06-12,181.45,171.2,182.6,173.26,Stoploss
427,2008-06-13,171.5,165.31,174.16,172.37,Stoploss
428,2008-06-16,171.25,169.07,177.9,176.84,Stoploss
429,2008-06-17,178.17,177.41,181.99,181.43,Stoploss
430,2008-06-18,181.0,177.35,182.2,178.75,Stoploss
431,2008-06-19,178.48,176.8,182.34,180.9,Stoploss
432,2008-06-20,176.55,175.0,181.0,175.27,Stoploss
433,2008-06-23,174.78,171.56,175.88,173.16,Stoploss
434,2008-06-24,172.06,171.63,175.78,173.25,Stoploss
435,2008-06-25,174.5,173.88,178.83,177.39,Stoploss
436,2008-06-26,174.14,168.01,174.84400000000002,168.26,Stoploss
437,2008-06-27,166.44,164.15,170.57,170.09,Stoploss
438,2008-06-30,170.04,166.62,172.0,167.44,Stoploss
439,2008-07-01,164.05,164.0,174.72,174.68,Stoploss
440,2008-07-02,175.05,168.1788,177.45,168.18,Stoploss
441,2008-07-03,169.59,165.75,172.17,170.12,Stoploss
442,2008-07-07,173.0,171.9,177.13,175.16,Stoploss
443,2008-07-08,175.4,172.7401,179.7,179.55,Stoploss
444,2008-07-09,180.25,174.14,180.91,174.25,Stoploss
445,2008-07-10,174.91,171.37,177.34,176.63,Stoploss
446,2008-07-11,175.37,171.0,177.11,172.58,Stoploss
447,2008-07-14,175.37,173.08,179.3,173.88,Stoploss
448,2008-07-15,172.3,166.39,173.74,169.64,Stoploss
449,2008-07-16,170.08,168.6,172.93,172.81,Stoploss
450,2008-07-17,174.09,171.39,174.98,171.81,Stoploss
451,2008-07-18,168.21,165.0,169.65,165.15,Stoploss
452,2008-07-21,166.9,161.12,167.5,166.29,Stoploss
453,2008-07-22,148.9,146.53,162.76,162.02,Stoploss
454,2008-07-23,165.15,161.56,168.37,166.26,Stoploss
455,2008-07-24,164.3,158.45,165.26,159.03,Stoploss
456,2008-07-25,160.37,158.65,163.0,162.12,Stoploss
457,2008-07-28,162.18,154.02,162.47,154.4,Stoploss
458,2008-07-29,156.55,153.65,159.45,157.08,Stoploss
459,2008-07-30,157.71,156.08,160.49,159.88,Stoploss
