,Date,Actual,Predicted
154,20090612,136.97,210.09756842372008
155,20090615,136.09,210.1834662129695
156,20110902,374.05,324.9620425743633
157,20110906,379.74,325.1413068937982
158,20100723,259.94,267.3359767428192
159,20100726,259.28,267.4681201126805
160,20070907,131.77,98.5474906937452
161,20070910,136.71,98.54326197069895
162,20070125,86.25,94.11516728447168
163,20070126,85.38,94.10623315577686
164,20080618,178.75,153.5160790135269
165,20080619,180.9,153.55513765283104
166,20070921,144.15,98.62674474541564
167,20070924,148.28,98.6225800554239
168,20100524,246.76,266.2040184853686
169,20100525,245.22,266.33412296859024
170,20090930,185.35,212.08199737779796
171,20091001,180.8599,212.20772552175913
172,20070523,112.89,96.36824675346725
173,20070524,110.69,96.36113299282442
174,20090105,94.58,207.22202102946176
175,20090106,93.02,207.30447120504687
176,20081210,98.21,156.86739319855405
177,20081211,95.0,156.90915952094656
178,20091210,196.43,213.4774301079451
179,20091211,194.67,213.56493432038405
180,20070521,111.98,96.35692474609823
181,20070522,113.54,96.34980183785956
182,20080414,147.78,152.36123426056292
183,20080415,148.38,152.39935984690965
184,20080606,185.64,153.4535654921783
185,20080609,181.61,153.49369794868107
186,20080327,140.25,151.8687269394577
187,20080328,143.01,151.90645460617088
188,20081218,89.43,156.91268122807378
189,20081219,90.0,156.95448414079146
190,20090731,163.39,210.9581669047766
191,20090803,166.43,211.08354921605496
192,20091002,184.9,212.30535986318137
193,20091005,186.024,212.39304143014306
194,20110613,326.6,323.317884723263
195,20110614,332.44,323.4941341637168
196,20070108,85.47,94.01893022173317
197,20070109,92.57,94.00991833863372
198,20080527,186.43,153.00092767764
199,20080528,187.01,153.03957010216254
200,20070423,93.51,95.8021463843761
201,20070424,93.24,95.79457524481404
202,20090422,121.51,209.01655919948826
203,20090423,125.4,209.10045926619205
204,20090924,183.82,211.8583830523421
205,20090925,182.37,211.94457916113606
206,20070831,138.48,98.30690271654748
207,20070904,144.16,98.34183097798086
208,20080808,169.55,154.59708823774417
209,20080811,173.56,154.6381445996085
210,20110525,336.78,322.8197163984587
211,20110526,335.0,322.99556334548106
212,20080310,119.69,151.77248987670464
213,20080311,127.3501,151.8101397890132
214,20061229,84.84,67.79415552591672
215,20070103,83.8,72.75202223708038
216,20100218,202.928,264.47175135594443
217,20100219,201.67,264.6004562597227
218,20061010,73.81,42.515118641545996
219,20061011,73.23,42.46449442610901
220,20110505,346.75,322.7064963246521
221,20110506,346.66,322.8822517958906
222,20101018,318.0,269.0005543087027
223,20101019,309.49,269.13291824366024
224,20110329,350.96,321.71015967504354
225,20110330,348.63,321.8851101594191
226,20091022,205.2,212.41316141406423
227,20091023,203.94,212.49980575416703
228,20080804,153.23,154.56902570003876
229,20080805,160.64,154.6089350641123
230,20100406,239.54,265.53602004983986
231,20100407,240.6,265.6655848259252
232,20100302,208.85,264.9472756659816
233,20100303,209.33,265.0763647680287
234,20100224,200.65599999999998,264.5057173780806
235,20100225,202.0,264.6344497245882
236,20110617,320.26,323.34594726098294
237,20110620,315.32,323.523343699213
238,20070829,134.08,98.10051388290594
239,20070830,136.25,98.0947997016774
240,20110909,377.48,324.99896033873665
241,20110912,379.94,325.1776923233847
242,20071203,178.86,100.21772926331323
243,20071204,179.81,100.21372567916114
244,20080110,178.02,150.6402891385078
245,20080111,172.69,150.67702429300698
246,20090729,160.03,210.75448733261146
247,20090730,162.79,210.83979155252746
248,20100528,256.88,266.42172932640824
249,20100601,260.83,266.592485399844
250,20090203,92.98,207.77679939116933
251,20090204,93.55,207.85969779807783
252,20080624,173.25,153.55004503566306
253,20080625,177.39,153.58913111771108
254,20091204,193.32,213.44888260876178
255,20091207,188.95,213.53748808109958
256,20091224,209.04,213.56481194405933
257,20091228,211.61,213.65407324349508
258,20091014,191.29,212.36787338452996
259,20091015,190.56,212.45448113432212
260,20090401,108.69,208.8976781219826
261,20090402,112.71,208.98148213910463
262,20110712,353.75,323.8783240886696
263,20110713,358.02,324.0550263342302
264,20080331,143.5,152.07830999605358
265,20080401,149.5301,152.15499619905313
